What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
1996.9092,94.38974359,"4'11""",Female,Freshman,2.6,snapchat,1.290236897,7.4,1.865982906,More than half the days
1996.921254,93.37179487,5'13,Male,Sophomore,2.6,Instagram,1.259037094,7.4,1.80991453,Never
1996.933307,92.35384615,5'14,Female,Freshman,2.6,Whatsapp,1.227837291,7.4,1.753846154,Several days
1996.94536,91.33589744,9 feet,Male,Freshman,2.6,Netflix,1.196637488,7.4,1.697777778,Nearly every day
1996.957413,90.31794872,8 foot 8,Male,Senior,2.6,Clash royale,1.165437685,7.4,1.641709402,Never
1996.969466,89.3,5'9,Male,Senior,None,Whatsapp,1.134237882,8 or less,1.585641026,More than half the days
1996.981519,88.28205128,"5'9""",Female,Senior,12.2,snapchat,1.103038079,11,1.52957265,Never
1996.993572,87.26410256,"5'8""",Male,Junior,13.1,Snapchat,1.071838276,11.5,1.473504274,Never
1997.005625,86.24615385,6'20,Male,Senior,14,Instagram,1.040638472,12,1.417435897,Several days
1997.017678,85.22820513,6'24,Female,Senior,14.9,Snapchat,1.009438669,12 or more,1.361367521,Several days
1997.029731,84.21025641,8 foot 4 inches,Female,Senior,one,Instagram,0.978238866,9.045588235,1.305299145,Never
1997.041784,83.19230769,8 feet 5 inches,Female,Freshman,-4,snapchat,0.947039063,9.085294118,1.249230769,Never
1997.053837,82.17435897,"5'3""",Female,Sophomore,-5,Twitter,0.91583926,9.125,1.193162393,Never
1997.06589,81.15641026,5'5',Female,Sophomore,One,Message,0.884639457,9.164705882,1.137094017,More than half the days
1997.077943,80.13846154,"5'9""",Female,Junior,-4,Instagram,0.853439654,9.204411765,1.081025641,Never
1997.089996,79.12051282,8 ft 5,Female,Sophomore,-5,Shameless,0.822239851,9.244117647,1.024957265,More than half the days
1997.102049,78.1025641,5feet 4inches,Female,Sophomore,One,Twitter,0.791040048,9.283823529,0.968888889,Several days
1997.114102,77.08461538,"5' 11""",Male,Junior,-1.4,YouTube,0.759840245,9.323529412,0.912820513,Several days
1997.126155,76.06666667,"5""9",Female,Freshman,-1.6,messages,0.728640442,9.363235294,0.856752137,Never
Rochester,75.04871795,8 feet and 6 inches,Male,Sophomore,-1.8,Messaging,0.697440639,9.402941176,0.800683761,Several days
1997,74.03076923,71,Male,Sophomore,-2,Snapchat,0.666240836,9.442647059,0.744615385,Never
1997,73.01282051,"5""12",Female,Sophomore,-2.2,Instagram,0.635041033,9.482352941,0.688547009,Several days
1997,71.99487179,"5'5""",Female,Freshman,none,snapchat,0.60384123,9.522058824,0.632478632,Never
1997,70.97692308,6' 3,Male,Junior,-3,CNN,0.572641427,9.561764706,0.576410256,Never
1997,69.95897436,8 foot 3 inches,Female,Freshman,-3.5,instagram,0.541441624,9.601470588,0.52034188,Nearly every day
1997,68.94102564,"5'8""",Male,Freshman,-4,snapchat,0.510241821,9.641176471,0.464273504,Nearly every day
What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
1997.138208,67.92307692,"4'11""",Female,Freshman,2.6,snapchat,0.479042018,7.4,0.408205128,More than half the days
1997.150261,66.90512821,5'15,Male,Sophomore,2.6,Instagram,0.447842215,7.4,0.352136752,Never
1997.162314,65.88717949,5'16,Female,Freshman,2.6,Whatsapp,0.416642412,7.4,0.296068376,Several days
1997.174367,64.86923077,10 feet,Male,Freshman,2.6,Netflix,0.385442609,7.4,0.24,Nearly every day
1997.18642,63.85128205,9 foot 8,Male,Senior,2.6,Clash royale,0.354242806,7.4,0.183931624,Never
1997.198473,62.83333333,5'10,Male,Senior,None,Whatsapp,0.323043003,9 or less,0.127863248,More than half the days
1997.210526,61.81538462,"5'9""",Female,Senior,15.8,snapchat,0.291843199,12.5,0.071794872,Never
1997.222579,60.7974359,"5'8""",Male,Junior,16.7,Snapchat,0.260643396,13,0.015726496,Never
1997.234632,59.77948718,6'28,Male,Senior,17.6,Instagram,0.229443593,13.5,-0.04034188,Several days
1997.246685,58.76153846,6'32,Female,Senior,18.5,Snapchat,0.19824379,13 or more,-0.096410256,Several days
1997.258738,57.74358974,9 foot 4 inches,Female,Senior,one,Instagram,0.167043987,9.680882353,-0.152478632,Never
1997.270791,56.72564103,9 feet 5 inches,Female,Freshman,-6,snapchat,0.135844184,9.720588235,-0.208547009,Never
1997.282845,55.70769231,"5'3""",Female,Sophomore,-7,Twitter,0.104644381,9.760294118,-0.264615385,Never
1997.294898,54.68974359,5'5',Female,Sophomore,One,Message,0.073444578,9.8,-0.320683761,More than half the days
1997.306951,53.67179487,"5'9""",Female,Junior,-6,Instagram,0.042244775,9.839705882,-0.376752137,Never
1997.319004,52.65384615,9 ft 5,Female,Sophomore,-7,Shameless,0.011044972,9.879411765,-0.432820513,More than half the days
1997.331057,51.63589744,5feet 4inches,Female,Sophomore,One,Twitter,-0.020154831,9.919117647,-0.488888889,Several days
1997.34311,50.61794872,"5' 11""",Male,Junior,-2.4,YouTube,-0.051354634,9.958823529,-0.544957265,Several days
1997.355163,49.6,"5""10",Female,Freshman,-2.6,messages,-0.082554437,9.998529412,-0.601025641,Never
Rochester,48.58205128,9 feet and 6 inches,Male,Sophomore,-2.8,Messaging,-0.11375424,10.03823529,-0.657094017,Several days
1997,47.56410256,71,Male,Sophomore,-3,Snapchat,-0.144954043,10.07794118,-0.713162393,Never
1997,46.54615385,"5""13",Female,Sophomore,-3.2,Instagram,-0.176153846,10.11764706,-0.769230769,Several days
1997,45.52820513,"5'5""",Female,Freshman,none,snapchat,-0.207353649,10.15735294,-0.825299145,Never
1997,44.51025641,6' 4,Male,Junior,-4.5,CNN,-0.238553452,10.19705882,-0.881367521,Never
1997,43.49230769,9 foot 3 inches,Female,Freshman,-5,instagram,-0.269753255,10.23676471,-0.937435897,Nearly every day
1997,42.47435897,"5'8""",Male,Freshman,-5.5,snapchat,-0.300953058,10.27647059,-0.993504274,Nearly every day
What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
1997.367216,41.45641026,"4'11""",Female,Freshman,2.6,snapchat,-0.332152861,7.4,-1.04957265,More than half the days
1997.379269,40.43846154,5'17,Male,Sophomore,2.6,Instagram,-0.363352664,7.4,-1.105641026,Never
1997.391322,39.42051282,5'18,Female,Freshman,2.6,Whatsapp,-0.394552467,7.4,-1.161709402,Several days
1997.403375,38.4025641,11 feet,Male,Freshman,2.6,Netflix,-0.42575227,7.4,-1.217777778,Nearly every day
1997.415428,37.38461538,10 foot 8,Male,Senior,2.6,Clash royale,-0.456952074,7.4,-1.273846154,Never
1997.427481,36.36666667,5'11,Male,Senior,None,Whatsapp,-0.488151877,10 or less,-1.32991453,More than half the days
1997.439534,35.34871795,"5'9""",Female,Senior,19.4,snapchat,-0.51935168,14,-1.385982906,Never
1997.451587,34.33076923,"5'8""",Male,Junior,20.3,Snapchat,-0.550551483,14.5,-1.442051282,Never
1997.46364,33.31282051,6'36,Male,Senior,21.2,Instagram,-0.581751286,15,-1.498119658,Several days
1997.475693,32.29487179,6'40,Female,Senior,22.1,Snapchat,-0.612951089,14 or more,-1.554188034,Several days
1997.487746,31.27692308,10 foot 4 inches,Female,Senior,one,Instagram,-0.644150892,10.31617647,-1.61025641,Never
1997.499799,30.25897436,10 feet 5 inches,Female,Freshman,-8,snapchat,-0.675350695,10.35588235,-1.666324786,Never
1997.511852,29.24102564,"5'3""",Female,Sophomore,-9,Twitter,-0.706550498,10.39558824,-1.722393162,Never
